Season,Name,Nationality,Type,Team,Price
2021,Jalaj Saxena ,Not Available,All-Rounder , Punjab Kings,"30,00,000"
2021,Saurabh Kumar ,Not Available,All-Rounder , Punjab Kings,"20,00,000"
2021,Utkarsh Singh ,Not Available,All-Rounder , Punjab Kings,"20,00,000"
2021,Christopher Morris ,Not Available,All-Rounder , Rajasthan Royals,"16,25,00,000"
2021,Shivam Dube ,Indian ,All-Rounder , Rajasthan Royals,"4,40,00,000"
2021,Chetan Sakariya ,Indian ,Bowler , Rajasthan Royals,"1,20,00,000"
2021,Mustafizur Rahman ,Overseas ,Bowler , Rajasthan Royals,"1,00,00,000"
2021,Liam Livingstone ,Overseas ,All-Rounder , Rajasthan Royals,"75,00,000"
2021,K.C. Cariappa ,Indian ,Bowler , Rajasthan Royals,"20,00,000"
2021,Akash Singh ,Not Available,Bowler, Rajasthan Royals,"20,00,000"
2021,Kuldip Yadav ,Indian , Bowler , Rajasthan Royals," 20,00,000"
2021,Kyle Jamieson ,Overseas ,All-Rounder , Royal Challengers Bangalore,"15,00,00,000"
2021,Glenn Maxwell ,Not Available,All-Rounder , Royal Challengers Bangalore,"14,25,00,000"
2021,Dan Christian ,Not Available,All-Rounder , Royal Challengers Bangalore,"4,80,00,000"
2021,Sachin Baby ,Not Available,Batsman , Royal Challengers Bangalore,"20,00,000"
